edge_id,length
:164805656_13,14.44
:164805656_14,14.28
:164805656_15,4.67
:164805659_0,16.33
:164805659_1,19.52
:164805659_3,5.36
:164805659_4,2.34
:164805659_18,11.76
:164805659_19,2.34
:164805659_5,9.04
:164805659_6,24.42
:164805659_7,10.04
:164805659_8,2.56
:164805659_20,10.90
:164805659_21,2.12
:164805659_9,13.67
:164805659_10,19.52
:164805659_12,7.14
:164805659_13,2.34
:164805659_22,14.06
:164805659_23,2.34
:164805659_14,9.31
:164805659_15,22.74
:164805659_16,7.49
:164805659_17,2.16
:164805659_24,13.73
:164805659_25,2.51
:164808925_0,9.03
:164808925_1,11.26
:164808925_2,2.34
:164808925_9,2.34
:164808925_3,9.17
:164808925_4,14.44
:164808925_5,11.73
:164808925_6,11.31
:164808925_7,4.09
:164808925_8,2.34
:164808925_10,7.69
:164808925_11,2.34
:164808926_0,11.12
:164808926_1,2.34
:164808926_6,2.34
:164808926_2,8.99
:164808926_3,11.68
:164808926_4,11.12
:164808926_5,2.34
:164808926_7,2.34
:164820521_0,8.15
:164820521_1,8.26
:164820526_0,27.65
:164820526_1,27.91
:164820529_0,8.05
:164820534_0,8.23
:164820534_1,8.26
:164820542_0,8.14
:164820542_1,8.09
:164820543_0,8.16
:164820543_1,8.25
:164820545_0,8.25
:164820545_1,8.78
:164820545_2,8.50
:164820550_0,34.34
:164820550_1,34.30
:164820563_0,8.28
:164820563_1,8.50
:164920357_0,9.88
:164920357_1,10.93
:164925599_0,5.92
:164926371_0,11.01
:164926371_1,16.66
:164926371_2,2.54
:164926371_7,2.13
:164926371_3,11.40
:164926371_4,15.58
:164926371_6,11.60
:164926373_0,11.19
:164926373_2,9.03
:164926374_0,9.04
:164926374_1,11.98
:164926374_2,14.42
:164926374_3,8.92
:164926375_0,9.03
:164926375_1,11.39
:164926375_3,9.12
:164926376_0,9.10
:164926376_1,14.27
:164926376_2,11.20
:164926376_4,9.15
:164928965_0,8.99
:164928965_1,14.05
:164928965_2,10.95
:164928965_4,8.81
:164928967_0,9.04
:164928967_1,11.50
:164928967_3,14.55
:164928967_4,9.03
:164932087_0,21.34
:164932087_2,11.64
:164932088_0,19.36
:164932088_1,18.47
:164932094_0,7.93
:164932094_1,9.75
:164932095_0,16.84
:164932095_2,4.08
:164932095_10,10.97
:164932095_3,11.98
:164932095_4,16.58
:164932095_6,9.06
:164932095_7,22.33
:164932095_9,16.87
:164932097_0,9.41
:164932097_1,13.50
:164932097_2,10.94
:164932097_4,9.28
:164932099_0,9.07
:164932099_1,12.92
:164932099_3,11.13
:164932101_0,9.23
:164932101_1,10.96
:164932102_0,8.45
:164932102_1,10.90
:164932102_2,11.55
:164932104_0,18.39
:164932104_1,12.07
:164932104_2,9.05
:164932104_3,9.06
:164932104_4,13.10
:164932106_0,18.36
:164932106_1,12.05
:164932106_2,9.05
:164932106_3,9.06
:164932106_4,13.04
:164932107_0,10.00
:164932107_1,16.98
:164932107_2,11.73
:164932107_5,9.95
:164932109_0,10.12
:164932109_1,16.75
:164932109_2,11.61
:164932109_5,9.72
:164932111_0,22.13
:164932111_1,13.14
:164932111_2,10.25
:164932111_3,9.36
:164932111_4,10.32
:164932112_0,9.06
:164932112_1,12.17
:164932112_2,24.69
:164932112_3,9.48
:164932112_8,6.17
:164933307_0,17.27
:164933307_1,18.13
:164933307_2,19.00
:164933307_3,19.87
:164933307_4,23.23
:164933311_0,9.04
:164933311_1,11.94
:164933311_2,4.67
:164933311_3,9.74
:164933311_4,14.07
:164933312_0,7.67
:164957001_0,7.87
:164957009_0,8.23
:164957009_1,8.16
:164957010_0,8.53
:164957010_1,8.44
:164957012_0,7.48
:164957012_3,7.84
:164957013_0,7.20
:164957013_1,7.83
:164957014_0,8.09
:164957014_1,8.09
:164957015_0,8.04
:164957015_1,7.97
:164957016_0,8.17
:164957016_1,8.17
:164957019_0,8.09
:164957019_1,8.03
:164957020_0,8.01
:164957020_1,8.00
:164957023_0,17.52
