edge_id,length
:-11014_3,3.06
:-11014_4,4.93
:-11016_0,9.54
:-11016_1,5.24
:-11016_6,5.24
:-11016_2,5.04
:-11016_3,10.35
:-11016_4,5.11
:-11016_5,9.52
:-11018_0,7.04
:-11018_1,11.89
:-11018_3,5.40
:-11018_14,10.14
:-11018_4,5.44
:-11018_5,16.87
:-11018_6,14.68
:-11018_7,8.32
:-11018_8,11.90
:-11018_10,4.52
:-11018_15,8.62
:-11018_11,5.01
:-11018_12,17.91
:-11018_13,14.91
:-11034_0,4.99
:-11034_1,12.97
:-11034_2,4.98
:-11034_3,9.36
:-11034_5,9.08
:-11034_7,4.30
:-11034_8,8.64
:-11042_0,5.24
:-11042_1,15.58
:-11042_3,6.33
:-11042_14,9.18
:-11042_4,5.90
:-11042_5,16.63
:-11042_6,6.38
:-11042_15,10.10
:-11042_7,9.08
:-11042_8,14.51
:-11042_10,5.53
:-11042_16,9.73
:-11042_11,4.95
:-11042_12,17.08
:-11042_13,7.63
:-11042_17,7.37
:-11066_0,5.02
:-11066_1,10.15
:-11066_2,4.96
:-11066_3,9.32
:-11066_4,8.95
:-11066_5,4.79
:-11066_6,5.25
:-11072_0,10.97
:-11072_3,8.95
:-11072_6,8.25
:-11072_8,10.43
:-11072_9,5.26
:-11116_0,9.65
:-11116_2,3.98
:-11116_8,9.05
:-11116_3,5.76
:-11116_4,14.32
:-11116_5,5.21
:-11116_6,9.65
:-11144_0,7.32
:-11144_1,25.40
:-11144_2,12.07
:-11144_16,7.96
:-11144_3,5.59
:-11144_4,10.97
:-11144_7,6.53
:-11144_17,12.83
:-11144_8,8.38
:-11144_9,23.84
:-11144_10,7.33
:-11144_18,7.57
:-11144_11,5.39
:-11144_12,12.61
:-11144_15,3.46
:-11144_19,13.40
:-11154_0,8.16
:-11154_1,15.35
:-11154_2,8.16
:-11154_3,15.35
:-11154_4,7.59
:-11162_0,8.01
:-11162_2,7.57
:-11162_4,14.64
:-11172_0,8.57
:-11172_2,10.63
:-11172_3,16.88
:-11172_4,10.63
:-11172_5,16.88
:-11174_0,6.16
:-11174_2,5.05
:-11174_3,11.02
:-11174_4,6.19
:-11178_0,5.07
:-11178_1,9.47
:-11178_2,9.40
:-11178_3,5.19
:-11178_6,5.19
:-11178_4,5.01
:-11178_5,10.27
:-11222_0,10.20
:-11222_1,27.92
:-11222_2,14.01
:-11222_16,12.33
:-11222_3,5.52
:-11222_4,24.64
:-11222_7,10.26
:-11222_17,14.24
:-11222_8,9.60
:-11222_9,24.97
:-11222_10,12.14
:-11222_18,7.55
:-11222_11,5.39
:-11222_12,26.94
:-11222_15,7.84
:-11222_19,16.42
:-11246_0,7.58
:-11246_1,7.58
:-11256_0,0.10
:-11282_0,7.75
:-11282_1,5.06
:-11282_6,5.66
:-11282_2,5.09
:-11282_3,9.48
:-11282_4,5.87
:-11282_5,9.09
:-11298_0,5.00
:-11298_1,11.69
:-11298_2,5.47
:-11298_3,8.62
:-11298_5,6.22
:-11298_7,4.46
:-11298_8,8.64
:-11324_0,9.14
:-11324_1,5.06
:-11324_6,5.08
:-11324_2,4.97
:-11324_3,10.16
:-11324_4,4.96
:-11324_5,9.38
:-11328_0,9.90
:-11328_3,3.77
:-11328_11,12.17
:-11328_4,5.43
:-11328_5,18.49
:-11328_7,5.13
:-11328_8,9.65
:-11336_0,5.17
:-11336_1,9.75
:-11336_2,10.26
:-11336_3,5.69
:-11336_6,5.06
:-11336_4,5.34
:-11336_5,11.02
:-11352_0,8.00
:-1136_0,9.85
:-1136_1,4.70
:-1136_6,6.06
:-1136_2,6.82
:-1136_3,12.36
:-1136_4,5.50
:-1136_5,9.92
:-11360_0,12.31
:-11360_3,5.38
:-11360_4,22.19
:-11360_5,5.38
:-11360_7,22.19
:-11360_9,6.16
:-11360_10,7.53
:-11420_0,4.42
:-11420_2,6.64
:-11420_3,10.79
:-11420_4,7.04
:-11432_0,9.69
:-11432_1,5.50
:-11432_6,6.05
:-11432_2,5.30
:-11432_3,10.54
:-11432_4,6.05
:-11432_5,9.68
:-1144_0,9.37
:-1144_1,6.07
:-1144_6,7.42
:-1144_2,5.79
:-1144_3,10.74
:-1144_4,8.12
:-1144_5,10.31
:-11474_0,5.95
:-11474_1,9.64
:-11474_2,9.64
:-11474_3,5.46
:-11474_6,5.97
:-11474_4,5.26
:-11474_5,10.50
:-11478_0,9.53
:-11478_3,4.51
:-11478_11,12.47
:-11478_4,5.14
